TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2016,UHF34,309310,3,Union Square-Lower Manhattan,"22,000","10.5 (6.3, 17.2)"
2016,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"33,000","22.2 (15.1, 31.4)"
2016,UHF34,501502,3,Northern SI,"31,000","22.1 (15.6, 30.2)"
2016,UHF34,503504,3,Southern SI,"62,000","29.3 (22.9, 36.7)"
2016,UHF34,105106107,3,South Bronx,"151,000","38.6 (32.8, 44.7)"
2016,Borough,1,1,Bronx,"348,000","33.5 (30.3, 36.9)"
2016,Borough,2,1,Brooklyn,"498,000","25.8 (23.7, 27.9)"
2016,Borough,3,1,Manhattan,"201,000","15.4 (13.2, 17.9)"
2016,Borough,4,1,Queens,"382,000","21.3 (19.0, 23.7)"
2016,Borough,5,1,Staten Island,"94,000","26.4 (21.6, 31.9)"
2016,Citywide,1,0,New York City,"1,523,000","23.7 (22.5, 24.9)"
2015,UHF34,101,3,Kingsbridge - Riverdale,"23,000*","32.5* (20.2, 47.7)"
2015,UHF34,102,3,Northeast Bronx,"41,000","27.3 (20.4, 35.4)"
2015,UHF34,103,3,Fordham - Bronx Pk,"55,000","30.1 (23.8, 37.2)"
2015,UHF34,104,3,Pelham - Throgs Neck,"68,000","29.4 (23.6, 35.9)"
2015,UHF34,201,3,Greenpoint,"26,000*","24.9* (15.6, 37.3)"
2015,UHF34,202,3,Downtown - Heights - Slope,"27,000","15.4 (10.7, 21.5)"
2015,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"86,000","36.0 (29.7, 42.8)"
2015,UHF34,204,3,East New York,"49,000","35.4 (27.1, 44.8)"
2015,UHF34,205,3,Sunset Park,"21,000","21.2 (14.4, 30.1)"
2015,UHF34,206,3,Borough Park,"39,000","16.0 (11.7, 21.6)"
2015,UHF34,207,3,East Flatbush - Flatbush,"83,000","35.8 (29.3, 42.9)"
2015,UHF34,208,3,Canarsie - Flatlands,"45,000","28.9 (21.6, 37.5)"
2015,UHF34,209,3,Bensonhurst - Bay Ridge,"35,000","21.4 (15.1, 29.5)"
2015,UHF34,210,3,Coney Island - Sheepshead Bay,"66,000","28.5 (22.7, 35.1)"
2015,UHF34,211,3,Williamsburg - Bushwick,"38,000","25.8 (19.2, 33.6)"
2015,UHF34,301,3,Washington Heights,"52,000","25.8 (19.6, 33.2)"
2015,UHF34,302,3,Central Harlem - Morningside Heights,"37,000","31.1 (23.9, 39.2)"
2015,UHF34,303,3,East Harlem,"20,000","26.2 (19.1, 34.7)"
2015,UHF34,304,3,Upper West Side,"14,000","7.8 (4.6, 13.1)"
2015,UHF34,401,3,Long Island City - Astoria,"40,000*","23.2* (14.5, 35.1)"
2015,UHF34,402,3,West Queens,"82,000","22.0 (17.5, 27.2)"
2015,UHF34,403,3,Flushing - Clearview,"39,000","17.7 (12.7, 24.3)"
2015,UHF34,405,3,Ridgewood - Forest Hills,"36,000","18.1 (12.6, 25.3)"
2015,UHF34,407,3,Southwest Queens,"61,000","29.3 (22.5, 37.2)"
2015,UHF34,408,3,Jamaica,"67,000","30.1 (23.4, 37.9)"
2015,UHF34,409,3,Southeast Queens,"39,000","25.7 (18.8, 33.9)"
2015,UHF34,410,3,Rockaways,"28,000*","34.2* (24.6, 45.2)"
2015,UHF34,305307,3,Upper East Side-Gramercy,"40,000","12.9 (9.0, 18.2)"
2015,UHF34,306308,3,Chelsea-Village  ,"17,000","8.8 (5.8, 13.1)"
2015,UHF34,309310,3,Union Square-Lower Manhattan,"16,000","7.5 (4.8, 11.7)"
2015,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"29,000","19.3 (13.2, 27.3)"
2015,UHF34,501502,3,Northern SI,"33,000","23.6 (16.8, 32.0)"
2015,UHF34,503504,3,Southern SI,"56,000","26.2 (19.8, 33.7)"
2015,UHF34,105106107,3,South Bronx,"132,000","33.9 (29.8, 38.4)"
2015,Borough,1,1,Bronx,"319,000","31.1 (28.3, 34.1)"
2015,Borough,2,1,Brooklyn,"520,000","26.7 (24.6, 28.9)"
2015,Borough,3,1,Manhattan,"201,000","15.5 (13.4, 17.7)"
2015,Borough,4,1,Queens,"421,000","23.6 (21.3, 26.1)"
2015,Borough,5,1,Staten Island,"90,000","25.1 (20.3, 30.5)"
2015,Citywide,1,0,New York City,"1,551,000","24.2 (23.0, 25.4)"
2014,UHF34,101,3,Kingsbridge - Riverdale,"19,000*","27.9* (16.5, 43.2)"
2014,UHF34,102,3,Northeast Bronx,"35,000","24.6 (17.0, 34.1)"
