StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,OBESITY_CrudePrev,Year
NY,New York,Westchester,36119,36119003100,40.7,2023
NY,New York,Monroe,36055,36055007000,40.6,2023
NY,New York,Livingston,36051,36051030900,40.6,2023
NY,New York,Fulton,36035,36035970800,40.6,2023
NY,New York,Richmond,36085,36085013302,40.6,2023
NY,New York,Wyoming,36121,36121971000,40.6,2023
NY,New York,Rensselaer,36083,36083040900,40.6,2023
NY,New York,Rensselaer,36083,36083051500,40.6,2023
NY,New York,Erie,36029,36029002300,40.5,2023
NY,New York,Livingston,36051,36051030201,40.5,2023
NY,New York,Kings,36047,36047091000,40.5,2023
NY,New York,Monroe,36055,36055001900,40.5,2023
NY,New York,Bronx,36005,36005037900,40.4,2023
NY,New York,Genesee,36037,36037950200,40.4,2023
NY,New York,Jefferson,36045,36045061400,40.4,2023
NY,New York,St. Lawrence,36089,36089491500,40.3,2023
NY,New York,Franklin,36033,36033950300,40.3,2023
NY,New York,St. Lawrence,36089,36089492500,40.3,2023
NY,New York,Bronx,36005,36005016700,40.3,2023
NY,New York,Bronx,36005,36005037504,40.3,2023
NY,New York,Genesee,36037,36037950300,40.3,2023
NY,New York,Richmond,36085,36085007700,40.3,2023
NY,New York,Cattaraugus,36009,36009961600,40.2,2023
NY,New York,Queens,36081,36081027800,40.2,2023
NY,New York,Cayuga,36011,36011041400,40.2,2023
NY,New York,Oswego,36075,36075020200,40.2,2023
NY,New York,Bronx,36005,36005003300,40.2,2023
NY,New York,Bronx,36005,36005004400,40.1,2023
NY,New York,Genesee,36037,36037950800,40.1,2023
NY,New York,Chemung,36015,36015000600,40.1,2023
NY,New York,Bronx,36005,36005005100,40.1,2023
NY,New York,Cortland,36023,36023971100,40.1,2023
NY,New York,Bronx,36005,36005016900,40.1,2023
NY,New York,Kings,36047,36047094402,40.1,2023
NY,New York,Chemung,36015,36015000200,40.1,2023
NY,New York,Erie,36029,36029002400,40.1,2023
NY,New York,Broome,36007,36007000400,40.1,2023
NY,New York,Erie,36029,36029005801,40.1,2023
NY,New York,Albany,36001,36001002300,40.1,2023
NY,New York,Genesee,36037,36037951400,40.0,2023
NY,New York,St. Lawrence,36089,36089492400,40.0,2023
NY,New York,Oneida,36065,36065022000,40.0,2023
NY,New York,Monroe,36055,36055002200,40.0,2023
NY,New York,St. Lawrence,36089,36089492600,40.0,2023
NY,New York,Genesee,36037,36037951200,39.9,2023
